,name,fullname,isalive,group,centrality,hits,pagerank
0,tonys,Tony Stark,alive,human,0.27071823204419887,0.030093659125936544,0.027758463025571084
1,stever,Steve Rogers,alive,human,0.22099447513812154,0.030553888583345262,0.018145753107963267
2,bruceb,Bruce Banner,alive,human,0.16574585635359115,0.023730480093309726,0.014206345869250013
3,thor,Thor,alive,asgardian,0.2430939226519337,0.030740980277946754,0.018730102891792874
4,blackw,Natasha Romanoff,alive,human,0.19889502762430938,0.029922054611479905,0.01692326550876116
5,rhody,James Rhodes,alive,human,0.14917127071823205,0.022708224709442025,0.013464951347123236
6,hawke,Clint Barton,alive,human,0.143646408839779,0.026248324634971953,0.012191344527948313
7,nickf,Nick Fury,alive,human,0.09392265193370165,0.01866561240816422,0.007763608803110897
8,falcon,Sam Wilson,alive,human,0.12154696132596685,0.022707350948232105,0.009950799531859436
9,vision,Vision,alive,machine,0.09944751381215469,0.021144760756419075,0.008257795833155864
10,wandam,Wanda Maximoff,alive,human,0.10497237569060773,0.021448266421323782,0.008765048384865172
11,pietrom,Pietro Maxiomoff,deceased,human,0.06077348066298342,0.014604151891361102,0.005351785063328502
12,ultronu,Ultimate Ultron,deceased,machine,0.07734806629834254,0.0157020225471361,0.006879610547578907
13,helenc,Helen Cho,alive,human,0.011049723756906077,0.0025272433357470944,0.0017234252510933512
14,ultrons,Ultron Sentry,deceased,machine,0.055248618784530384,0.013769256865627202,0.004873461924921594
15,mariah,Maria Hill,alive,human,0.055248618784530384,0.012080056371394475,0.0050460971991372885
16,wolfgangv,Wolfgang von Strucker,deceased,human,0.055248618784530384,0.012346315282778296,0.0055808308275758335
17,list,List,deceased,human,0.0055248618784530384,0.0006813337389005411,0.0012985394379858798
18,peggyc,Peggy Carter,deceased,human,0.0718232044198895,0.005637218298943794,0.006951094232773767
19,heimdall,Heimdall,alive,asgardian,0.09392265193370165,0.0119042344458209,0.007044123032020262
20,laurab,Laura Barton,alive,human,0.0055248618784530384,0.001448518748606502,0.0012227368811926292
21,madameb,Madame B.,unknown,human,0.0055248618784530384,0.0016512542306623289,0.0012237552227836487
22,ulyssesk,Ulysses Klaue,deceased,human,0.08287292817679558,0.004695669653772967,0.0067999343002481715
23,pepperp,Pepper Potts,alive,human,0.049723756906077346,0.006474228439050561,0.005412381202245885
