网址,标题
http://www.cuc.edu.cn/news/2021/0309/c1901a178590/page.htm,"
我校广告学院推出纪录片《中国广告四十年》
"
http://www.cuc.edu.cn/news/2021/0309/c1901a178585/page.htm,"
中国传媒大学新增16个“双万计划”一流本科专业建设点
"
http://www.cuc.edu.cn/news/2021/0308/c1901a178553/page.htm,"
我校女教授协会第四届理事会第一次会议暨青年女教师发展协会成立...
"
http://www.cuc.edu.cn/news/2021/0308/c1901a178552/page.htm,"
我校学生参与2022冬奥会“相约北京”冬季体育系列测试活动
"
http://www.cuc.edu.cn/news/2021/0308/c1901a178545/page.htm,"
我校与英国阿伯泰大学举行线上合作会议
"
http://www.cuc.edu.cn/news/2021/0305/c1901a178507/page.htm,"
我校师生高度关注全国“两会”开幕
"
http://www.cuc.edu.cn/news/2021/0305/c1901a178499/page.htm,"
我校获3项教育部第八届高等学校科学研究优秀成果奖
"
http://www.cuc.edu.cn/news/2021/0305/c1901a178491/page.htm,"
新华社北京分社副社长李斌来融媒体中心调研交流
"
http://www.cuc.edu.cn/news/2021/0304/c1901a178487/page.htm,"
刘守训副校长到离退休工作处调研
"
http://www.cuc.edu.cn/news/2021/0304/c1901a178464/page.htm,"
研究生网络授课平稳运行 融合理念深入人心
"
http://www.cuc.edu.cn/news/2021/0302/c1901a178403/page.htm,"
校党委理论学习中心组集中学习习近平总书记在党史学习教育动员大...
"
http://www.cuc.edu.cn/news/2021/0302/c1901a178394/page.htm,"
我校与伦敦大学皇家霍洛威学院举行线上合作会议
"
http://www.cuc.edu.cn/news/2021/0302/c1901a178389/page.htm,"
我校新增本科专业获教育部批准
"
http://www.cuc.edu.cn/news/2021/0301/c1901a178384/page.htm,"
线上教学首日运行良好 1.7万人次参与在线学习
"
http://www.cuc.edu.cn/news/2021/0226/c1901a178359/page.htm,"
我校教育基金会获2020-2022年度公益捐赠税前扣除资格
"
http://www.cuc.edu.cn/news/2021/0219/c1901a178221/page.htm,"
《中国传媒大学学报（自然科学版）》全新改版
"
http://www.cuc.edu.cn/news/2021/0216/c1901a178205/page.htm,"
“人类命运共同体：迈向一个更加包容的世界” 线上国际培训项目...
"
http://www.cuc.edu.cn/news/2021/0210/c1901a178172/page.htm,"
校领导看望慰问春节值班教职工和留校过节学生
"
http://www.cuc.edu.cn/news/2021/0208/c1901a178164/page.htm,"
信息与通信工程学院联合经济与管理学院举办2021届“春招特训营”
"
http://www.cuc.edu.cn/news/2021/0208/c1901a178163/page.htm,"
人类命运共同体研究院一行应邀出席与黑山总统在线视频会
"
http://www.cuc.edu.cn/news/2021/0208/c1901a178162/page.htm,"
我校共建智利边境大学孔子学院举办春节文化周活动
"
http://www.cuc.edu.cn/news/2021/0203/c1901a178071/page.htm,"
《新华文摘》全文转载我校师生论文
"
http://www.cuc.edu.cn/news/2021/0130/c1901a178042/page.htm,"
图书馆、博物馆、校史馆召开学习会并部署工作
"
http://www.cuc.edu.cn/news/2021/0130/c1901a178041/page.htm,"
“大阅城微服务”大厅正式上线
"
http://www.cuc.edu.cn/news/2021/0129/c1901a178033/page.htm,"
我校制作纪录电影《黄河尕谣》将在全国院线上映
"
http://www.cuc.edu.cn/news/2021/0128/c1901a178023/page.htm,"
廖祥忠书记率队赴华为（北京）会展中心调研交流
"
http://www.cuc.edu.cn/news/2021/0126/c1901a178009/page.htm,"
马克思主义学院召开全体党员大会学习领会党代会精神
"
http://www.cuc.edu.cn/news/2021/0127/c1901a178005/page.htm,"
我校教师参加北京市军事课教师调讲并获资格认证
"
http://www.cuc.edu.cn/news/2021/0126/c1901a177998/page.htm,"
政府与公共事务学院集体学习我校第三次党代会精神
"
http://www.cuc.edu.cn/news/2021/0125/c1901a177980/page.htm,"
新闻学院学生作品荣获高校数据新闻可视化创意大赛一等奖
"
http://www.cuc.edu.cn/news/2021/0122/c1901a177971/page.htm,"
李众副书记、李新军副校长带队检查寒假安全工作
"
http://www.cuc.edu.cn/news/2021/0118/c1901a177953/page.htm,"
传播研究院认真学习领会学校第三次党代会精神
"
http://www.cuc.edu.cn/news/2021/0118/c1901a177945/page.htm,"
传播研究院留学生获中国驻肯尼亚大使馆摄影/数字艺术大赛二等奖
"
http://www.cuc.edu.cn/news/2021/0118/c1901a177944/page.htm,"
我校学生作品入围2021荷兰Kaboom动画节
"
http://www.cuc.edu.cn/news/2021/0118/c1901a177943/page.htm,"
我校学生作品入围2021东京国际动画节
"
http://www.cuc.edu.cn/news/2021/0118/c1901a177942/page.htm,"
播音主持艺术学院参加北京冬奥会和冬残奥会场馆中文播报员、现场...
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177917/page.htm,"
教育部党组、教育部任免我校党委领导班子部分成员
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177913/page.htm,"
中国共产党中国传媒大学第三次代表大会胜利闭幕
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177905/page.htm,"
第八代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177899/page.htm,"
第七代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177898/page.htm,"
第三代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177893/page.htm,"
第一代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177892/page.htm,"
第六代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177889/page.htm,"
第五代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177885/page.htm,"
第二代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0114/c1901a177880/page.htm,"
第四代表团认真审议“两委”工作报告
"
http://www.cuc.edu.cn/news/2021/0113/c1901a177874/page.htm,"
中国传媒大学第三次党代会主席团举行第二次会议
"
http://www.cuc.edu.cn/news/2021/0113/c1901a177873/page.htm,"
中国共产党中国传媒大学第三次代表大会隆重开幕
"
http://www.cuc.edu.cn/news/2021/0112/c1901a177861/page.htm,"
中国传媒大学第三次党代会主席团第一次会议召开
"
http://www.cuc.edu.cn/news/2021/0112/c1901a177857/page.htm,"
中国传媒大学第三次党代会预备会议召开
"
http://www.cuc.edu.cn/news/2021/0108/c1901a177837/page.htm,"
“面向新文科、新工科的课程体系建设”专题论坛成功举办
"
http://www.cuc.edu.cn/news/2021/0108/c1901a177800/page.htm,"
我校获亚沙影响力院校奖等多项大奖
"
http://www.cuc.edu.cn/news/2021/0107/c1901a177783/page.htm,"
学校党委对第一、二轮接受校内巡察党组织开展落实整改情况“回头...
"
http://www.cuc.edu.cn/news/2021/0106/c1901a177772/page.htm,"
中国传媒大学本科教育大会隆重举行
"
http://www.cuc.edu.cn/news/2021/0104/c1901a177701/page.htm,"
我校志愿服务项目获第五届“志交会”全国银奖
"
http://www.cuc.edu.cn/news/2021/0104/c1901a177688/page.htm,"
第22届齐越朗诵艺术节暨全国大学生朗诵大会圆满收官
"
http://www.cuc.edu.cn/news/2021/0102/c1901a177686/page.htm,"
我校2021年艺术类本科招生考试初试顺利举行
"
http://www.cuc.edu.cn/news/2020/1231/c1901a177679/page.htm,"
我校召开2020年度基层党组织书记抓基层党建工作述职评议考核会议
"
http://www.cuc.edu.cn/news/2020/1231/c1901a177626/page.htm,"
王晓红教授获得“北京市先进工作者”荣誉称号
"
http://www.cuc.edu.cn/news/2020/1231/c1901a177613/page.htm,"
中央公务员、北京市公务员笔试中国传媒大学考点7场考试工作圆满...
"
